Month (t),Date,Open,High,Low,Close*,Adj Close**,Volume,GSPC Stock Return ,GSPC_percent_return,Open,High,Low,Close,Adj Close,Volume,AAPL Stock Return,AAPL_percent_return,Open,High,Low,Close,Adj Close,Volume,INTC Stock Return,INTC_percent_return,Open,High,Low,Close,Adj Close,Volume,KR Stock Return,KR_percent_return
22,1-Oct-16,"2,164.33","2,169.60","2,114.72","2,126.15","2,126.15","73,196,630,000",-0.02,-1.943,28.1775,29.672501,28.07,28.385,26.620604,2747657200,0.004,0.433,37.689999,38.360001,34.709999,34.869999,30.674959,471649900,-0.076291192,-7.629,29.57,31.58,28.709999,30.98,28.014608,245642600,0.043800478,4.38
23,1-Nov-16,"2,128.68","2,214.10","2,083.79","2,198.81","2,198.81","88,299,760,000",0.03,3.417,28.365,28.442499,26.02,27.629999,25.912531,2886220000,-0.027,-2.66,34.900002,35.66,33.419998,34.700001,30.525406,412448100,-0.00487541,-0.488,31.09,34.950001,30.440001,32.299999,29.208258,188828200,0.042608128,4.261
24,1-Dec-16,"2,200.17","2,277.53","2,187.44","2,238.83","2,238.83","75,251,240,000",0.02,1.82,27.592501,29.504999,27.0625,28.955,27.294594,2435086800,0.053,5.334,34.860001,37.349998,33.560001,36.27,32.148109,405906200,0.053159096,5.316,31.16,36.439999,31.09,34.509998,31.323124,175312100,0.072406441,7.241
25,1-Jan-17,"2,251.57","2,300.99","2,245.13","2,278.87","2,278.87","70,483,180,000",0.02,1.788,28.950001,30.610001,28.690001,30.3375,28.597815,2252488000,0.048,4.775,36.610001,38.450001,36.189999,36.82,32.635593,456335100,0.015163691,1.516,34.5,34.990002,32.689999,33.959999,30.823929,134534400,-0.015936948,-1.594
26,1-Feb-17,"2,285.59","2,371.54","2,271.65","2,363.64","2,363.64","69,162,420,000",0.04,3.72,31.7575,34.369999,31.752501,34.247501,32.283596,2299874400,0.129,12.888,36.82,36.950001,34.84,36.200001,32.086052,477551300,-0.016838701,-1.684,33.810001,34.75,31.58,31.799999,28.863388,148717000,-0.063604513,-6.36
27,1-Mar-17,"2,380.13","2,400.98","2,322.25","2,362.72","2,362.72","81,547,770,000",0,-0.039,34.4725,36.125,34.262501,35.915001,34.002266,2246513600,0.053,5.324,35.849998,36.299999,34.66,36.07,32.19907,546151800,0.00352234,0.352,31.93,32.48,28.290001,29.49,26.862986,245791700,-0.069305862,-6.931
28,1-Apr-17,"2,362.34","2,398.16","2,328.95","2,384.20","2,384.20","65,265,670,000",0.01,0.909,35.927502,36.365002,35.014999,35.912498,33.999889,1493216400,0,-0.007,36.189999,37.5,35.209999,36.150002,32.270481,444122200,0.002217797,0.222,29.459999,30.4,29.219999,29.65,27.008736,147379000,0.005425681,0.543
29,1-May-17,"2,388.50","2,418.71","2,352.72","2,411.80","2,411.80","79,607,170,000",0.01,1.158,36.275002,39.162498,36.067501,38.189999,36.156109,2615927200,0.063,6.342,36.110001,37.169998,35.02,36.110001,32.234772,432927300,-0.001106553,-0.111,29.66,30.639999,28.540001,29.780001,27.127157,200066700,0.004384544,0.438
30,1-Jun-17,"2,415.65","2,453.82","2,405.70","2,423.41","2,423.41","81,002,490,000",0,0.481,38.2925,38.994999,35.549999,36.005001,34.228165,2736712400,-0.053,-5.332,36.119999,36.57,33.34,33.740002,30.343184,499455600,-0.0586816,-5.868,29.77,30.93,20.459999,23.32,21.327816,486696900,-0.21378359,-21.378
31,1-Jul-17,"2,431.39","2,484.04","2,407.70","2,470.30","2,470.30","63,169,400,000",0.02,1.935,36.220001,38.497501,35.602501,37.182499,35.347557,1688047600,0.033,3.27,33.509998,35.860001,33.23,35.470001,31.899015,440860400,0.051274481,5.127,23.469999,24.559999,22.5,24.52,22.425304,192448100,0.051458058,5.146
32,1-Aug-17,"2,477.10","2,490.87","2,417.35","2,471.65","2,471.65","70,616,030,000",0,0.055,37.275002,41.130001,37.102501,41,38.976662,2644276000,0.103,10.267,35.66,36.700001,34.380001,35.07,31.539284,497303200,-0.011277182,-1.128,24.5,24.700001,21.059999,21.870001,20.00169,268500700,-0.108074967,-10.807
33,1-Sep-17,"2,474.42","2,519.44","2,446.55","2,519.36","2,519.36","66,337,980,000",0.02,1.93,41.200001,41.235001,37.290001,38.529999,36.772388,2721496400,-0.057,-5.655,35.240002,38.150002,34.93,38.080002,34.50333,431948900,0.093979496,9.398,21.969999,22.93,19.889999,20.059999,18.44413,346640300,-0.07787142,-7.787
34,1-Oct-17,"2,521.20","2,582.98","2,520.40","2,575.26","2,575.26","70,871,570,000",0.02,2.219,38.564999,42.412498,38.115002,42.259998,40.332245,2017165200,0.097,9.681,38.119999,45.799999,38.080002,45.490002,41.217342,633392500,0.194590261,19.459,20.040001,22.030001,19.690001,20.700001,19.032578,380966200,0.031904351,3.19
35,1-Nov-17,"2,583.21","2,657.74","2,557.45","2,647.58","2,647.58","73,173,260,000",0.03,2.808,42.467499,44.060001,41.32,42.962502,41.002705,2402653600,0.017,1.662,45.970001,47.299999,43.77,44.84,40.628391,579910400,-0.014288913,-1.429,20.76,27.700001,20.74,25.860001,23.776928,292246900,0.249275216,24.928
